	GraveSoil	Soil	Stool	Unknown
bone10008	0.06732	0.0046	0.17906	0.74902
bone10009	0.0923	0.00274	0.18591	0.71905
bone10022	0.05367	0.00194	0.23604	0.70835
bone10023	0.00582	0.00121	0.23418	0.75879
bone10024	2.00E-05	0	0.00405	0.99593
bone10018	0.1572	0.00105	0.06068	0.78107
bone10017	0.47514	0.00106	0.02471	0.49909
bone10040	0.00069	0.00084	0.00152	0.99695
bone10057	0.52148	0.0012	0.05205	0.42527
bone10058	0.46543	0.00126	0.15548	0.37783
bone10079	0.17788	0.00062	0.64382	0.17768
bone10064	0.52994	0.00141	0.00485	0.4638
bone10059	0.51798	0.00103	0.04729	0.4337
bone10060	0.47443	0.00103	0.13883	0.38571
bone10061	0.09953	0.00041	0.47921	0.42085
bone10062	0.12281	0.00063	0.34803	0.52853
bone10020	0.54101	0.00062	0.02995	0.42842
bone10042	0.64992	0.00123	0.01495	0.3339
bone10028	0.5849	0.00125	0.00333	0.41052
bone10056	0.61044	0.0011	0.00483	0.38363
bone10047	0.24837	0.00242	0.35187	0.39734
bone10048	0.36801	0.00181	0.07105	0.55913
bone10049	0.27116	0.00219	0.17283	0.55382
bone10051	0.16384	0.00142	0.33162	0.50312
bone10053	0.41479	0.00147	0.12587	0.45787
bone10054	0.48993	0.00161	0.06348	0.44498
bone10055	0.40605	0.00188	0.16303	0.42904
bone10041	0.39509	0.00104	0.1371	0.46677
bone10050	0.00274	0.00065	0.17758	0.81903
bone10026	0.34264	0.00101	0.20876	0.44759
bone10044	0.61996	0.00115	0.01535	0.36354
10082	0.22532	0.00057	0.4335	0.34061
10083	0.11192	0.00075	0.40546	0.48187
bone10078	0.00023	6.00E-05	0.00211	0.9976
bone10065	0.00022	8.00E-05	0.00176	0.99794
bone10071	0.23232	0.00081	0.21177	0.5551
bone10072	0.02311	0.00077	0.43171	0.54441
bone10073	0.27998	0.00098	0.26305	0.45599
bone10074	0.08327	0.00118	0.30152	0.61403
bone10076	0.04958	0.0008	0.35501	0.59461
bone10075	0.00121	0.00036	0.417	0.58143
bone10081	0.31777	0.00029	0.43131	0.25063
bone10006	0.02047	0.00195	0.44221	0.53537
bone10007	0.00279	0.00114	0.42991	0.56616
bone10031	0.00011	0	0.74475	0.25514
bone10032	0.00013	3.00E-05	0.57832	0.42152
bone10033	0.00058	0.00026	0.03699	0.96217
bone10034	0.00037	0.00019	0.01896	0.98048
bone10001	0.07458	0.00226	0.27608	0.64708
bone10012	0.29423	0.00146	0.10223	0.60208
bone10046	0.24602	0.00217	0.13992	0.61189
bone10004	0.11891	0.00368	0.27755	0.59986
bone10005	0.1683	0.00247	0.24847	0.58076
bone10035	0.00516	0.0006	0.39892	0.59532
bone10036	0.02184	0.00082	0.36677	0.61057
bone10037	0.00263	0.00019	0.33268	0.6645
bone10038	0.00111	0.0001	0.35402	0.64477
bone10011	0.00067	8.00E-05	0.71692	0.28233
bone10013	0.06069	0.00077	0.44746	0.49108
