#SampleID	Type	SourceSink	Env
bone10008	Bone	sink	Bone_Grave_Anoxic
bone10009	Bone	sink	Bone_Grave_Anoxic
bone10022	Bone	sink	Bone_Grave_Anoxic
bone10023	Bone	sink	Bone_Grave_Anoxic
bone10024	Bone	sink	Bone_Grave_Anoxic
bone10018	Bone	sink	Bone_Grave_Anoxic
bone10017	Bone	sink	Bone_Grave_Anoxic
bone10040	Bone	sink	Bone_Grave_Anoxic
bone10057	Bone	sink	Bone_Grave_Anoxic
bone10058	Bone	sink	Bone_Grave_Anoxic
bone10079	Bone	sink	Bone_Grave_Anoxic
bone10064	Bone	sink	Bone_Grave_Anoxic
bone10059	Bone	sink	Bone_Grave_Anoxic
bone10060	Bone	sink	Bone_Grave_Anoxic
bone10061	Bone	sink	Bone_Grave_Anoxic
bone10062	Bone	sink	Bone_Grave_Anoxic
bone10020	Bone	sink	Bone_Grave_Anoxic
bone10042	Bone	sink	Bone_Grave_Anoxic
bone10028	Bone	sink	Bone_Grave_Anoxic
bone10056	Bone	sink	Bone_Grave_Anoxic
bone10047	Bone	sink	Bone_Grave_Anoxic
bone10048	Bone	sink	Bone_Grave_Anoxic
bone10049	Bone	sink	Bone_Grave_Anoxic
bone10051	Bone	sink	Bone_Grave_Anoxic
bone10053	Bone	sink	Bone_Grave_Anoxic
bone10054	Bone	sink	Bone_Grave_Anoxic
bone10055	Bone	sink	Bone_Grave_Anoxic
bone10041	Bone	sink	Bone_Grave_Anoxic
bone10050	Bone	sink	Bone_Grave_Anoxic
bone10026	Bone	sink	Bone_Grave_Anoxic
bone10044	Bone	sink	Bone_Grave_Anoxic
10082	Bone	sink	Bone_Grave_Anoxic
10083	Bone	sink	Bone_Grave_Anoxic
bone10078	Bone	sink	Bone_Grave_Anoxic
bone10065	Bone	sink	Bone_Grave_Anoxic
bone10071	Bone	sink	Bone_Grave_Anoxic
bone10072	Bone	sink	Bone_Grave_Anoxic
bone10073	Bone	sink	Bone_Grave_Anoxic
bone10074	Bone	sink	Bone_Grave_Anoxic
