Names	total	elements
Grave Bone (A/B) Grave Bone (C) Human Gut Soils Surface Bone	9	"f04935e3d5a9da15aae832191986988e"
		"33022141594a26f64007d7ec7d3e49f2"
		"954be8c369aeceb1d59b649b2e949e5a"
		"b7e4475dd39c5f3d0c613a4111715a8b"
		"637b9b3f4d1cbb1a10c07817619cdf69"
		"945184b6386c192c0066e0a98a154780"
		"b354a1e7a29c4f05aace7e65edc75c7f"
		"2d67df94ce79e3f65f6090caf28ae9a0"
		"0dbf3aec3a34b218a94919344c9110ad"
Grave Bone (A/B) Grave Bone (C) Soils Surface Bone	250	"de932cc59fe03cf19d30c2f2ec564687"
		"dd78b6b4c49b1a8c83214298dd4f9716"
		"674d3fca8b60d684ea44b52ad3fd4c73"
		"cd74dff9536eba82bac8c6d71a8eea45"
		"19573493f06e15f074f664ad7505ac52"
		"c4e3516a8e1f70e65a5a263c7fecddf2"
		"11876059ded16870c4951a77e69b57f7"
		"7480de24425ade76dfd6e3882fa173b6"
		"5ddacc6cd85aef988ad50341e15d2c43"
		"32ac19bb04134b0b1f1033de092f7713"
		"f963be2062b9a088c922feb4752b2de6"
		"6e4d06a09199a741e32868410c2aa550"
		"377e0dd7d234944c08d706bb895f3130"
		"beb96b70a6211c6d4c0c9fb5e92d571e"
		"30242ff322d5761fc7c180f70f895606"
		"01c7f3f344906ce233912a21fb6cdea5"
		"6472eb8b1e09f892aca2f23182962903"
		"b72d2815103feb19f37f2521dac55754"
		"e234c0d07b0652afe259ec8b7d551ecb"
		"57f342a6fdf81daf0208be868c48b25b"
		"1a56ad3ec2b87cfbeaba8976be08b4b9"
		"0e285e3d9f44a903f31fa0fd54345b68"
		"2cfb2970659c5425547f6788e34fc4f4"
		"0ad5811c815352c78b3a50978aad2edd"
		"9d77cb79f29735ac46eb373959f42bfc"
		"836a3884be034c3109f25ca107f5fd0f"
		"e416d0916760d2fc17b616e2ac3ad855"
		"e09f97d9f9240a8db6364dea88fcd7cd"
		"8eb6132e2a35ac36eb9ba852bb10ec6e"
		"8523e190dd69cb9040860f7b619dfc44"
		"27f9d0de2aae3a22c21bb459353ffdf2"
		"5cbf299bc5e84aa98007f6e2fbbffaa5"
		"59d20d43f1c559485a55a892e0e62b4c"
		"14bc0a4eb1cd36861ef082e213cbacb1"
		"33a198a979ec6f8252b36eb5ae643d5e"
		"d381b0c4baf4c092e37d645b910d42d7"
		"281abb7fedf355ec27e32d5f4902e664"
		"5e011735e05069cfa7597005f3eacf9e"
		"58857aea84f95527d20b7f06a59ce791"
		"a5aa30da0b2685c7b0c47be160249bee"
		"54836838deb0d4769d6d07eb48fa827f"
		"35d20da789dde8d76e4389fd6d30cc9d"
		"0c4f8c95fedb27fdbdf839992673c20d"
		"66829d64a2d70e608e0bd768aa6d8c07"
		"fc573c91057fa2e98e1e18e98b0aad7e"
		"d7e7b7ddaf9b805ad0848bc6f643703d"
		"f960a197844583bb25c6dbe6a57cdd68"
		"fd2899fba49792389b004ff5b4edc105"
		"966e95f34503ca29ec7cb739f2804916"
		"b852c41bca26001c43021451b89b1df0"
		"52bb68b87aaa03a58f746a6359d1c923"
		"69ea7bf023c94c0e9e322cf8722862e4"
		"44874e4cee4ca7e72a7053ae59b7c55c"
		"c59336b98498412a3a7b20ab3b1791f9"
		"d2c0c1c657f444a7b1045c6718413b91"
		"3c4336abbcb6ca91924bb2b0f5942960"
		"1137908dfe3b63a4b7903e49e76dbef7"
		"c4a4275655037a15ff90e3ccd8bcfa8c"
		"2f35bdf3cbfaa4cd319a51cc46764656"
		"0435511639a585c9bd711a606b0a5cb8"
		"610ac69585799012e85d80a80804c078"
		"59aca3465b3ff57d042c7d8a6109a4de"
		"42e9464e281f53ba8a4f84d59d523431"
		"4608fae4bbc9964cdd17af8782f2155e"
		"dcfd90aa2fd3ae4cecc831902af00185"
		"afc9946b7c28e2e6500fd5f3e51c8f64"
		"de38823ac3bcdc471193ce2b303f7b10"
		"08451c4fbbcf3f74a668c7416fe10dec"
		"838f9b15d03dbd6dc65050aac63dd8d0"
		"6ee9af06f7effb48c8907e7a74f4e8a2"
		"8961a7e45bdecbadf04eb2ac16ede753"
		"679d9c7fd43434a5ab6f9b7f754286c9"
		"3fd2992820e106b169598395af34c2ef"
		"68b76cae175a98b50ef2eeb686a8af0f"
